Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Hyundai,Starex,17000000,2019,Алматы,минивэн,2.5,автомат,35000,полный привод,слева,,Да
Mercedes-Benz,E 230,5000000,1997,Алматы,седан,2.3,автомат,184000,задний привод,слева,бордовый металлик,Да
Land Rover,Range Rover,24000000,2014,Алматы,внедорожник,4.4,автомат,130000,полный привод,слева,белый металлик,Да
Toyota,Mark II,2990000,1998,Алматы,седан,2,автомат,,задний привод,справа,красный металлик,Да
Honda,CR-V,3250000,1996,Алматы,кроссовер,2,автомат,310000,полный привод,справа,серебристый металлик,Да
Mitsubishi,Montero Sport,19400000,2023,Алматы,внедорожник,3,автомат,280,полный привод,слева,белый металлик,Да
Lexus,LX 470,14000000,2007,Алматы,внедорожник,4.7,автомат,,полный привод,слева,черный,Да
Geely,Monjaro,19290000,2023,Алматы,кроссовер,2,автомат,,полный привод,слева,белый металлик,Да
Mitsubishi,Outlander,16800000,2022,Алматы,кроссовер,2.5,вариатор,5400,полный привод,слева,серый металлик,Нет
Nissan,Juke,9600000,2014,Алматы,кроссовер,1.6,вариатор,115000,полный привод,слева,серый металлик,Да
Toyota,Windom,4000000,1997,Алматы,седан,2.5,автомат,,передний привод,справа,белый,Да
Smart,ForTwo,2500000,2004,Алматы,хэтчбек,0.7,робот,,задний привод,слева,,Да
Toyota,Aristo,2800000,1994,Алматы,седан,3,автомат,350000,задний привод,справа,белый,Да
Nissan,Pathfinder,5500000,2000,Алматы,внедорожник,3.3,механика,228000,полный привод,слева,синий металлик,Да
Audi,A6,12500000,2016,Алматы,седан,1.8,робот,79177,передний привод,слева,черный,Да
Toyota,Corolla,5500000,2008,Алматы,седан,1.8,автомат,284616,передний привод,слева,синий металлик,Да
Lexus,LX 570,28000000,2014,Алматы,внедорожник,5.7,автомат,120000,полный привод,слева,серый металлик,Да
Mitsubishi,Delica D:5,8300000,2009,Алматы,микровэн,2.4,вариатор,120000,передний привод,справа,белый металлик,Да
Mazda,MPV,1900000,1997,Алматы,минивэн,2.5,автомат,,полный привод,справа,,Да
Toyota,Hilux,15600000,2018,Алматы,пикап,2.7,механика,135000,полный привод,слева,белый,Да
Nissan,Terrano,6200000,2014,Алматы,кроссовер,2,автомат,168000,передний привод,слева,золотистый,Да
Dodge,Ram,65000000,2021,Алматы,пикап,6.2,автомат,21000,полный привод,слева,черный,Да
Haval,H6,14700000,2023,Алматы,кроссовер,2,робот,7000,полный привод,слева,серый металлик,Да
Kia,K5,18500000,2021,Алматы,седан,1.6,автомат,30000,передний привод,слева,белый металлик,Да
Toyota,Camry,17500000,2023,Алматы,седан,2.5,автомат,300,передний привод,слева,белый металлик,Да
Volkswagen,Touareg,9850000,2009,Панфилово (Талгарский р-н),кроссовер,3.6,автомат,,полный привод,слева,черный металлик,Да
Chrysler,300C,6200000,2007,Алматы,седан,5.7,автомат,,задний привод,слева,черный,Да
Toyota,Land Cruiser,19800000,2013,Алматы,внедорожник,4.6,автомат,,полный привод,слева,черный металлик,Да
Kia,K5,13000000,2020,Алматы,седан,2,автомат,42000,передний привод,слева,синий металлик,Да
Hyundai,Accent,4850000,2013,Алматы,седан,1.6,автомат,,передний привод,слева,,Да
FAW,1021,1700000,2007,Алматы,пикап,2.5,механика,,передний привод,слева,,Да
Mitsubishi,Delica,6200000,2000,Алматы,минивэн,3,автомат,999999,полный привод,справа,черный,Да
ГАЗ,ГАЗель,4000000,2005,Алматы,пикап,2.4,механика,111111,задний привод,слева,белый,Да
