Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Changan,CS55 Plus,12500000,2023,Астана,кроссовер,1.5,робот,10000,передний привод,слева,,Да
Volkswagen,Tiguan,13990000,2021,Астана,кроссовер,1.4,робот,25931,передний привод,слева,белый,Да
Lexus,RX 350,20000000,2017,Астана,кроссовер,3.5,автомат,38616,полный привод,слева,серебристый металлик,Да
Kia,Sportage,15100000,2023,Астана,кроссовер,2,автомат,15,передний привод,слева,черный металлик,Да
Kia,Rio,10000000,2021,Астана,седан,1.6,автомат,48000,передний привод,слева,белый,Да
Toyota,Corolla,12900000,2023,Астана,седан,1.6,вариатор,5800,передний привод,слева,белый,Да
Toyota,Alphard,8690000,2005,Астана,минивэн,2.4,автомат,,передний привод,слева,черный,Да
ВАЗ (Lada),2121 Нива,5100000,2019,Ерейментау,внедорожник,1.7,механика,68000,полный привод,слева,белый,Да
Toyota,Land Cruiser Prado,22100000,2013,Астана,внедорожник,4,автомат,305000,полный привод,слева,белый металлик,Да
Nissan,X-Trail,9690000,2015,Астана,кроссовер,2,вариатор,161060,полный привод,слева,серый,Да
BMW,X5,47000000,2021,Астана,кроссовер,3,автомат,70000,полный привод,слева,черный металлик,Да
Kia,K8,19500000,2021,Астана,седан,2.5,автомат,20000,передний привод,слева,серый металлик,Да
Hyundai,Grandeur,6500000,2018,Астана,седан,3,автомат,66666,передний привод,слева,серебристый металлик,Нет
Toyota,Camry,16700000,2018,Астана,седан,2.5,автомат,88000,передний привод,слева,черный,Да
Toyota,RAV 4,17800000,2021,Астана,кроссовер,2,автомат,30000,полный привод,слева,синий,Да
Hyundai,ix35,7900000,2014,Астана,кроссовер,2,автомат,153949,передний привод,слева,черный металлик,Да
Toyota,Camry,7500000,2013,Астана,седан,2.5,автомат,250000,передний привод,слева,черный металлик,Нет
Honda,Odyssey,7000000,2005,Астана,минивэн,3.5,автомат,,передний привод,слева,серебристый металлик,Да
EXEED,VX,18000000,2022,Астана,кроссовер,2,робот,40000,полный привод,слева,черный металлик,Да
Toyota,Corolla,7500000,2016,Астана,седан,1.8,вариатор,141098,передний привод,слева,серый металлик,Да
Skoda,Octavia,5399999,2011,Астана,лифтбек,1.6,автомат,346000,передний привод,слева,серебристый,Да
Jetour,X70 Plus,12500000,2023,Астана,кроссовер,1.6,робот,7000,передний привод,слева,белый,Да
Nissan,Sunny,2670000,2002,Астана,седан,1.5,автомат,181110,передний привод,справа,серый металлик,Да
Audi,A6,31000000,2022,Астана,седан,2,робот,,полный привод,слева,,Да
