Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Mercedes-Benz,Sprinter,9850000,2008,Алматы,микроавтобус,2.2,механика,,задний привод,слева,белый металлик,Да
Li,L7,25700000,2023,Алматы,кроссовер,1.5,автомат,,полный привод,слева,,Да
Zeekr,001,24900000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,голубой,Да
Voyah,Free,18840000,2022,Алматы,кроссовер,,автомат,,полный привод,слева,голубой,Нет
Volkswagen,Passat,18990000,2022,Алматы,седан,2,робот,,передний привод,слева,серый металлик,Да
Bentley,Flying Spur,135000000,2022,Алматы,седан,4,автомат,8000,полный привод,слева,серый металлик,Да
Zeekr,001,24450000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,синий,Да
Volkswagen,Teramont,25490000,2021,Алматы,кроссовер,2,автомат,500,полный привод,слева,,Да
Zeekr,001,24450000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,красный,Нет
Zeekr,001,25400000,2023,Алматы,лифтбек,,автомат,,полный привод,слева,синий,Да
BMW,525,3700000,1994,Алматы,седан,2.5,механика,,задний привод,слева,черный,Да
Volkswagen,Tiguan,15590000,2021,Алматы,кроссовер,1.4,робот,500,передний привод,слева,,Да
Volkswagen,Teramont,24800000,2022,Алматы,кроссовер,2,автомат,,полный привод,слева,белый металлик,Да
Volkswagen,Taos,17324428,2022,Туркестан,кроссовер,1.4,робот,,полный привод,слева,серебристый металлик,Да
Volkswagen,Passat,14850000,2022,Алматы,седан,1.5,робот,,передний привод,слева,серебристый металлик,Да
Volkswagen,Passat,19269000,2022,Алматы,универсал,2,робот,,полный привод,слева,,Да
Voyah,Free,18990000,2021,Алматы,кроссовер,1.5,автомат,,полный привод,слева,белый,Нет
Mercedes-Benz,E 320,5700000,1999,Алматы,седан,3.2,автомат,,задний привод,слева,серебристый металлик,Да
Daewoo,Nexia,900000,2007,Алматы,седан,1.5,механика,11110,передний привод,слева,синий металлик,Да
Lexus,GX 460,44000000,2022,Алматы,внедорожник,4.6,автомат,3000,полный привод,слева,белый,Да
Hyundai,Sonata,15500000,2021,Алматы,седан,2.5,автомат,80000,передний привод,слева,серый,Да
Lexus,ES 350,16990000,2015,Алматы,седан,3.5,автомат,132000,передний привод,слева,белый,Да
Mitsubishi,Outlander,11500000,2019,Алматы,кроссовер,2,вариатор,45000,передний привод,слева,белый,Да
Mercedes-Benz,E 220,3600000,2005,Алматы,универсал,2.1,автомат,,задний привод,слева,черный,Да
Lexus,RX 350,25000000,2021,Алматы,кроссовер,3.5,автомат,20000,полный привод,слева,синий металлик,Да
Toyota,Camry,16900000,2020,Алматы,седан,2.5,автомат,50000,передний привод,слева,черный металлик,Да
Lexus,RX 350,48000000,2023,Алматы,кроссовер,2.4,автомат,50,полный привод,слева,зеленый металлик,Да
Hyundai,Palisade,25000000,2021,Алматы,кроссовер,3.8,автомат,40000,полный привод,слева,белый металлик,Да
Toyota,Land Cruiser,69500000,2023,Алматы,внедорожник,3.5,автомат,,полный привод,слева,черный металлик,Да
Subaru,Forester,13500000,2019,Алматы,кроссовер,2.5,вариатор,80000,полный привод,слева,серебристый,Да
Subaru,Outback,10000000,2014,Алматы,универсал,2.5,автомат,140000,полный привод,слева,синий металлик,Да
Hyundai,Sonata,15400000,2022,Алматы,седан,2.5,автомат,7000,передний привод,слева,черный,Да
Toyota,Land Cruiser,69700000,2023,Алматы,внедорожник,3.5,автомат,10,полный привод,слева,белый металлик,Да
Toyota,Camry,12700000,2019,Алматы,седан,2.5,автомат,117457,передний привод,слева,серый металлик,Да
