Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Nissan,Micra,460000,1990,Алматы,хэтчбек,1.2,механика,,передний привод,слева,черный,Да
Kia,Cee’d,7300000,2014,Алматы,хэтчбек,1.6,автомат,254477,передний привод,слева,серый,Да
Hyundai,Elantra,6800000,2013,Алматы,седан,1.8,автомат,237000,передний привод,слева,голубой металлик,Да
Volkswagen,Passat,2300000,1991,Алматы,универсал,1.8,механика,277777,передний привод,слева,черный металлик,Да
Lexus,RX 450h,13700000,2012,Алматы,кроссовер,3.5,вариатор,125000,полный привод,слева,серебристый металлик,Да
Lexus,RX 330,8000000,2004,Алматы,кроссовер,3.3,автомат,,полный привод,слева,белый металлик,Да
Fiat,Doblo,2500000,2007,Алматы,минивэн,1.4,механика,370000,передний привод,слева,серебристый,Да
Volkswagen,Golf,900000,1993,Шамалган,хэтчбек,1.8,механика,,передний привод,слева,,Да
Mitsubishi,Delica,8000000,2006,Алматы,минивэн,3,автомат,,полный привод,слева,,Да
Toyota,Camry,9500000,2011,Каскелен,седан,2.5,автомат,260000,передний привод,слева,синий металлик,Да
ВАЗ (Lada),Granta 2190 (седан),3830000,2018,Алматы,седан,1.6,автомат,,передний привод,слева,,Да
Renault,Modus,1800000,2006,Алматы,минивэн,1.6,автомат,135000,передний привод,слева,красный металлик,Да
Honda,CR-V,4400000,1999,Алматы,кроссовер,2,автомат,,полный привод,слева,синий металлик,Да
BMW,318,1100000,1991,Алматы,седан,1.8,автомат,,задний привод,слева,черный металлик,Да
BMW,540,4700000,1997,Алматы,седан,4.4,автомат,,задний привод,слева,черный металлик,Да
Chevrolet,Nexia,4500000,2021,Алматы,седан,1.5,механика,125000,передний привод,слева,белый,Да
Daewoo,Nexia,2000000,2014,Алматы,седан,1.5,механика,,передний привод,слева,,Да
Saab,9-5,2500000,1998,Алматы,седан,2.3,автомат,,передний привод,слева,,Да
BMW,X6,23900000,2017,Алматы,кроссовер,3,автомат,54000,полный привод,слева,белый металлик,Да
Kia,Mohave,28900000,2023,Алматы,внедорожник,3,автомат,11,полный привод,слева,черный металлик,Нет
Lexus,LX 570,40000000,2016,Алматы,внедорожник,5.7,автомат,109000,полный привод,слева,черный,Да
Toyota,Highlander,36200000,2023,Алматы,кроссовер,2.4,автомат,3,полный привод,слева,черный,Да
Mercedes-Benz,Sprinter,3500000,1995,Алматы,фургон,2.2,механика,,задний привод,слева,зеленый металлик,Да
Volkswagen,Golf,650000,1991,Алматы,хэтчбек,1.8,механика,,передний привод,слева,белый металлик,Да
Chevrolet,Cobalt,4500000,2021,Алматы,седан,1.5,автомат,,передний привод,слева,белый,Да
Mercedes-Benz,190,600000,1992,Каргалы,седан,2.3,механика,11111,задний привод,слева,белый,Да
