Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Kia,Sportage,8580000,2013,Алматы,кроссовер,2,автомат,218514,передний привод,слева,белый,Да
Toyota,RAV 4,13060000,2017,Алматы,кроссовер,2,вариатор,72869,передний привод,слева,черный,Да
BYD,Seal,14250000,2023,Алматы,седан,,автомат,,задний привод,слева,белый,Да
Changan,UNI-K,14500000,2023,Алматы,кроссовер,1.5,робот,,передний привод,слева,серый,Нет
Hyundai,Sonata,26000000,2022,Алматы,седан,2.5,автомат,70000,передний привод,слева,серый металлик,Да
Toyota,Camry,11830000,2015,Алматы,седан,2.5,автомат,66220,передний привод,слева,черный,Да
Toyota,Camry,15170000,2018,Алматы,седан,2.5,автомат,74292,передний привод,слева,белый,Да
Hyundai,Tucson,13068200,2018,Алматы,кроссовер,2,автомат,110813,полный привод,слева,белый,Да
Toyota,Sienna,3200000,2005,Алматы,минивэн,3.3,автомат,,передний привод,слева,зеленый,Да
Hyundai,Creta,11910000,2020,Алматы,кроссовер,2,автомат,40270,передний привод,слева,белый,Да
Toyota,Camry,12200000,2014,Алматы,седан,3.5,автомат,174000,передний привод,слева,черный,Да
Toyota,Camry,16560000,2021,Алматы,седан,2.5,автомат,64512,передний привод,слева,белый,Да
Honda,CR-V,3600000,2000,Алматы,кроссовер,2,автомат,281000,полный привод,слева,серебристый металлик,Да
Kia,Rio X-Line,10140000,2021,Алматы,хэтчбек,1.6,автомат,45397,передний привод,слева,белый,Да
Genesis,GV70,35000000,2022,Алматы,кроссовер,3.5,автомат,41000,полный привод,слева,серый,Да
Hyundai,Sonata,11500000,2017,Алматы,седан,2.4,автомат,80000,передний привод,слева,белый,Да
Mercedes-Benz,S 500,5700000,2002,Алматы,седан,5,автомат,,задний привод,слева,черный металлик,Да
Toyota,Land Cruiser Prado,23900000,2017,Алматы,внедорожник,2.7,автомат,65000,полный привод,слева,,Да
Ford,Explorer,10500000,2011,Алматы,внедорожник,3.5,автомат,220000,полный привод,слева,белый,Да
Volkswagen,Tiguan,5500000,2008,Алматы,кроссовер,2,автомат,235000,передний привод,слева,черный металлик,Да
Toyota,Sienna,3200000,2005,Алматы,минивэн,3.3,автомат,,передний привод,слева,зеленый,Да
Hyundai,Creta,11910000,2020,Алматы,кроссовер,2,автомат,40270,передний привод,слева,белый,Да
Toyota,Camry,12200000,2014,Алматы,седан,3.5,автомат,174000,передний привод,слева,черный,Да
Toyota,Camry,16560000,2021,Алматы,седан,2.5,автомат,64512,передний привод,слева,белый,Да
Honda,CR-V,3600000,2000,Алматы,кроссовер,2,автомат,281000,полный привод,слева,серебристый металлик,Да
Kia,Rio X-Line,10140000,2021,Алматы,хэтчбек,1.6,автомат,45397,передний привод,слева,белый,Да
Genesis,GV70,35000000,2022,Алматы,кроссовер,3.5,автомат,41000,полный привод,слева,серый,Да
Hyundai,Sonata,11500000,2017,Алматы,седан,2.4,автомат,80000,передний привод,слева,белый,Да
Mercedes-Benz,S 500,5700000,2002,Алматы,седан,5,автомат,,задний привод,слева,черный металлик,Да
Toyota,Land Cruiser Prado,23900000,2017,Алматы,внедорожник,2.7,автомат,65000,полный привод,слева,,Да
Ford,Explorer,10500000,2011,Алматы,внедорожник,3.5,автомат,220000,полный привод,слева,белый,Да
Volkswagen,Tiguan,5500000,2008,Алматы,кроссовер,2,автомат,235000,передний привод,слева,черный металлик,Да
Kia,K5,13700000,2021,Алматы,седан,1.6,автомат,35000,передний привод,слева,серый металлик,Да
Hyundai,Elantra,12000000,2021,Алматы,седан,2,автомат,18399,передний привод,слева,белый,Да
Hyundai,Palisade,26500000,2022,Алматы,кроссовер,3.8,автомат,15000,передний привод,слева,белый металлик,Да
Toyota,Camry,12000000,2015,Алматы,седан,2.5,вариатор,113000,передний привод,слева,черный,Да
Nissan,Caravan,3400000,2001,Алматы,минивэн,3,автомат,350000,задний привод,справа,,Да
Mercedes-Benz,G 63 AMG,55000000,2016,Алматы,внедорожник,5.5,автомат,77077,полный привод,слева,черный металлик,Да
Toyota,Land Cruiser,27000000,2013,Алматы,внедорожник,4.6,автомат,169000,полный привод,слева,серый металлик,Да
Maxus,G10,25000000,2022,Алматы,минивэн,2,автомат,200,передний привод,слева,белый металлик,Да
Toyota,Camry,16560000,2021,Алматы,седан,2.5,автомат,64512,передний привод,слева,белый,Да
Honda,CR-V,3600000,2000,Алматы,кроссовер,2,автомат,281000,полный привод,слева,серебристый металлик,Да
Kia,Rio X-Line,10140000,2021,Алматы,хэтчбек,1.6,автомат,45397,передний привод,слева,белый,Да
Genesis,GV70,35000000,2022,Алматы,кроссовер,3.5,автомат,41000,полный привод,слева,серый,Да
Hyundai,Sonata,11500000,2017,Алматы,седан,2.4,автомат,80000,передний привод,слева,белый,Да
Mercedes-Benz,S 500,5700000,2002,Алматы,седан,5,автомат,,задний привод,слева,черный металлик,Да
Toyota,Land Cruiser Prado,23900000,2017,Алматы,внедорожник,2.7,автомат,65000,полный привод,слева,,Да
