Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Subaru,Legacy,2470000,2000,Конаев (Капшагай),седан,2.0,механика,440787.0,полный привод,слева,зеленый металлик,Да
Lexus,RX 300,5900000,1999,Алматы,кроссовер,3.0,автомат,260000.0,полный привод,справа,розовый металлик,Да
Toyota,Aristo,2700000,1994,Алматы,седан,4.0,автомат,,полный привод,справа,,Да
Lexus,GX 460,18700000,2012,Алматы,внедорожник,4.6,автомат,183000.0,полный привод,слева,,Да
Mitsubishi,Chariot,2700000,1998,Алматы,минивэн,2.4,автомат,,полный привод,слева,белый,Да
Audi,A6,2280000,1997,Алматы,седан,2.8,автомат,,полный привод,слева,черный металлик,Да
Mazda,CX-5,16800000,2018,Алматы,кроссовер,2.5,автомат,22000.0,полный привод,слева,белый металлик,Да
Kia,Sportage,8200000,2013,Алматы,кроссовер,2.0,автомат,145000.0,передний привод,слева,серебристый металлик,Да
Toyota,Highlander,6200000,2001,Байсерке,кроссовер,3.0,автомат,,полный привод,слева,белый,Да
Mercedes-Benz,E 280,3950000,1998,Алматы,седан,2.8,автомат,460000.0,задний привод,слева,серебристый металлик,Да
BYD,Song,13000000,2022,Алматы,кроссовер,,автомат,,передний привод,слева,черный,Нет
Hyundai,Accent,9600000,2023,Алматы,седан,1.6,автомат,15000.0,передний привод,слева,серый,Да
Toyota,Corolla,12800000,2022,Алматы,седан,1.8,механика,,передний привод,слева,,Да
Toyota,Land Cruiser Prado,9700000,2003,Алматы,внедорожник,2.7,автомат,230000.0,полный привод,слева,белый металлик,Да
Subaru,Outback,9500000,2014,Алматы,универсал,2.5,вариатор,150000.0,полный привод,справа,белый,Нет
Mercedes-Benz,ML 320,3700000,2002,Алматы,внедорожник,3.2,автомат,,полный привод,слева,белый металлик,Да
Hyundai,Accent,5150000,2012,Алматы,седан,1.6,автомат,,передний привод,слева,белый металлик,Да
Toyota,Celica,1400000,1987,Алматы,купе,1.6,механика,356000.0,передний привод,слева,белый металлик,Да
BMW,528,2500000,1997,Алматы,седан,2.8,автомат,500000.0,задний привод,слева,серебристый,Да
Mercedes-Benz,E 220,2500000,1995,Алматы,седан,2.2,автомат,,задний привод,слева,черный металлик,Да
Volkswagen,Passat,1370000,1995,Алматы,седан,1.8,механика,350000.0,передний привод,слева,синий,Да
Nissan,Altima,2300000,2002,Алматы,седан,2.5,автомат,246542.0,передний привод,слева,серебристый,Да
