Brand,Name,Price,Year,Car case,Volume,Transmission,Mileage,Gear,Color
Kia,Sportage,8580000,2013,кроссовер,2.0,автомат,218514.0,передний привод,белый
Toyota,RAV 4,13060000,2017,кроссовер,2.0,вариатор,72869.0,передний привод,черный
BYD,Seal,14250000,2023,седан,0.0,автомат,0.0,задний привод,белый
Changan,UNI-K,14500000,2023,кроссовер,1.5,робот,0.0,передний привод,серый
Hyundai,Sonata,26000000,2022,седан,2.5,автомат,70000.0,передний привод,серый металлик
Toyota,Camry,11830000,2015,седан,2.5,автомат,66220.0,передний привод,черный
Toyota,Camry,15170000,2018,седан,2.5,автомат,74292.0,передний привод,белый
Hyundai,Tucson,13068200,2018,кроссовер,2.0,автомат,110813.0,полный привод,белый
Toyota,Sienna,3200000,2005,минивэн,3.3,автомат,133558.6735723293,передний привод,зеленый
Hyundai,Creta,11910000,2020,кроссовер,2.0,автомат,40270.0,передний привод,белый
Toyota,Camry,12200000,2014,седан,3.5,автомат,174000.0,передний привод,черный
Toyota,Camry,16560000,2021,седан,2.5,автомат,64512.0,передний привод,белый
Honda,CR-V,3600000,2000,кроссовер,2.0,автомат,281000.0,полный привод,серебристый металлик
Kia,Rio X-Line,10140000,2021,хэтчбек,1.6,автомат,45397.0,передний привод,белый
Genesis,GV70,35000000,2022,кроссовер,3.5,автомат,41000.0,полный привод,серый
Hyundai,Sonata,11500000,2017,седан,2.4,автомат,80000.0,передний привод,белый
Toyota,Land Cruiser Prado,23900000,2017,внедорожник,2.7,автомат,65000.0,полный привод,белый
Ford,Explorer,10500000,2011,внедорожник,3.5,автомат,220000.0,полный привод,белый
Volkswagen,Tiguan,5500000,2008,кроссовер,2.0,автомат,235000.0,передний привод,черный металлик
Kia,K5,13700000,2021,седан,1.6,автомат,35000.0,передний привод,серый металлик
Hyundai,Elantra,12000000,2021,седан,2.0,автомат,18399.0,передний привод,белый
Hyundai,Palisade,26500000,2022,кроссовер,3.8,автомат,15000.0,передний привод,белый металлик
Toyota,Camry,12000000,2015,седан,2.5,вариатор,113000.0,передний привод,черный
Nissan,Caravan,3400000,2001,минивэн,3.0,автомат,350000.0,задний привод,белый
Toyota,Land Cruiser,27000000,2013,внедорожник,4.6,автомат,169000.0,полный привод,серый металлик
Maxus,G10,25000000,2022,минивэн,2.0,автомат,200.0,передний привод,белый металлик
Mercedes-Benz,EQC,28300000,2020,кроссовер,0.0,автомат,133558.6735723293,полный привод,серебристый металлик
Kia,Optima,8300000,2014,седан,2.4,автомат,120000.0,передний привод,белый металлик
Mercedes-Benz,S 500,29700000,2015,седан,4.7,автомат,73400.0,полный привод,черный
Toyota,Highlander,6700000,2003,кроссовер,3.0,автомат,133558.6735723293,полный привод,белый
Nissan,Patrol,6000000,2000,внедорожник,3.0,механика,133558.6735723293,полный привод,черный
Chery,Tiggo 7 Pro,12500000,2023,кроссовер,1.5,автомат,0.0,передний привод,черный металлик
Toyota,C-HR,16000000,2022,кроссовер,2.0,вариатор,9000.0,передний привод,белый металлик
Tank,300,24500000,2023,внедорожник,2.0,автомат,0.0,полный привод,белый металлик
Toyota,Auris,6500000,2013,хэтчбек,1.6,вариатор,184000.0,передний привод,белый металлик
Hyundai,Sonata,10500000,2019,седан,2.0,автомат,133558.6735723293,передний привод,белый
Toyota,RAV 4,7400000,2008,кроссовер,2.5,автомат,190000.0,полный привод,бронза металлик
Honda,Fit,4650000,2007,хэтчбек,1.5,автомат,138000.0,передний привод,белый металлик
Lexus,GX 470,12500000,2005,внедорожник,4.7,автомат,220000.0,полный привод,серебристый металлик
Volkswagen,Caddy,5200000,2006,минивэн,2.0,механика,176000.0,передний привод,белый
Toyota,Camry,10500000,2017,седан,2.5,автомат,133558.6735723293,передний привод,черный
BMW,740,25000000,2016,седан,3.0,автомат,78000.0,полный привод,черный металлик
Toyota,Land Cruiser,47500000,2020,внедорожник,4.6,автомат,100000.0,полный привод,черный металлик
Mitsubishi,Delica,1700000,1995,минивэн,2.5,механика,133558.6735723293,полный привод,серый металлик
